ENTITY_CD,SCHOOL_NAME,YEAR,DISTRICT_CD,DISTRICT_NAME,BOCES_CD,BOCES_NAME,COUNTY_CD,COUNTY_NAME,NEEDS_INDEX
10100860005,NEW COVENANT CHARTER SCHOOL,2008,,,,,1,ALBANY,7
10100860005,NEW COVENANT CHARTER SCHOOL,2009,,,,,1,ALBANY,7
10100860005,NEW COVENANT CHARTER SCHOOL,2010,,,,,1,ALBANY,7
10100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2008,,,,,1,ALBANY,7
10100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2009,,,,,1,ALBANY,7
10100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2010,,,,,1,ALBANY,7
10100860830,BRIGHTER CHOICE SCHOOL FOR GIRLS,2008,,,,,1,ALBANY,7
10100860830,BRIGHTER CHOICE SCHOOL FOR GIRLS,2009,,,,,1,ALBANY,7
10100860830,BRIGHTER CHOICE SCHOOL FOR GIRLS,2010,,,,,1,ALBANY,7
10100860867,KIPP TECH VALLEY CHARTER SCHOOL,2008,,,,,1,ALBANY,7
10100860867,KIPP TECH VALLEY CHARTER SCHOOL,2009,,,,,1,ALBANY,7
10100860867,KIPP TECH VALLEY CHARTER SCHOOL,2010,,,,,1,ALBANY,7
10100860876,ACHIEVEMENT ACADEMY CHARTER SCHOOL,2008,,,,,1,ALBANY,7
10100860876,ACHIEVEMENT ACADEMY CHARTER SCHOOL,2009,,,,,1,ALBANY,7
10100860876,ACHIEVEMENT ACADEMY CHARTER SCHOOL,2010,,,,,1,ALBANY,7
10100860884,ALBANY PREPARATORY CHARTER SCHOOL,2008,,,,,1,ALBANY,7
10100860884,ALBANY PREPARATORY CHARTER SCHOOL,2009,,,,,1,ALBANY,7
10100860884,ALBANY PREPARATORY CHARTER SCHOOL,2010,,,,,1,ALBANY,7
10100860892,HENRY JOHNSON CHARTER SCHOOL,2008,,,,,1,ALBANY,7
10100860892,HENRY JOHNSON CHARTER SCHOOL,2009,,,,,1,ALBANY,7
10100860892,HENRY JOHNSON CHARTER SCHOOL,2010,,,,,1,ALBANY,7
10100860899,ALBANY COMMUNITY CHARTER SCHOOL,2008,,,,,1,ALBANY,7
10100860899,ALBANY COMMUNITY CHARTER SCHOOL,2009,,,,,1,ALBANY,7
10100860899,ALBANY COMMUNITY CHARTER SCHOOL,2010,,,,,1,ALBANY,7
10100860907,GREEN TECH HIGH CHARTER SCHOOL,2008,,,,,1,ALBANY,
10100860907,GREEN TECH HIGH CHARTER SCHOOL,2009,,,,,1,ALBANY,7
10100860907,GREEN TECH HIGH CHARTER SCHOOL,2010,,,,,1,ALBANY,7
1.40601E+11,KING CENTER CHARTER SCHOOL,2008,,,,,14,ERIE,7
1.40601E+11,KING CENTER CHARTER SCHOOL,2009,,,,,14,ERIE,7
1.40601E+11,KING CENTER CHARTER SCHOOL,2010,,,,,14,ERIE,7
1.40601E+11,SOUTH BUFFALO CHARTER SCHOOL,2008,,,,,14,ERIE,7
1.40601E+11,SOUTH BUFFALO CHARTER SCHOOL,2009,,,,,14,ERIE,7
1.40601E+11,SOUTH BUFFALO CHARTER SCHOOL,2010,,,,,14,ERIE,7
1.40601E+11,TAPESTRY CHARTER SCHOOL,2008,,,,,14,ERIE,7
1.40601E+11,TAPESTRY CHARTER SCHOOL,2009,,,,,14,ERIE,7
1.40601E+11,TAPESTRY CHARTER SCHOOL,2010,,,,,14,ERIE,7
1.40601E+11,COMMUNITY CHARTER SCHOOL,2008,,,,,14,ERIE,7
1.40601E+11,COMMUNITY CHARTER SCHOOL,2009,,,,,14,ERIE,7
1.40601E+11,COMMUNITY CHARTER SCHOOL,2010,,,,,14,ERIE,7
1.40601E+11,BUFFALO UNITED CHARTER SCHOOL,2008,,,,,14,ERIE,7
1.40601E+11,BUFFALO UNITED CHARTER SCHOOL,2009,,,,,14,ERIE,7
1.40601E+11,BUFFALO UNITED CHARTER SCHOOL,2010,,,,,14,ERIE,7
1.40601E+11,PINNACLE CHARTER SCHOOL,2008,,,,,14,ERIE,7
1.40601E+11,PINNACLE CHARTER SCHOOL,2009,,,,,14,ERIE,7
1.40601E+11,PINNACLE CHARTER SCHOOL,2010,,,,,14,ERIE,7
1.40601E+11,ENTERPRISE CHARTER SCHOOL,2008,,,,,14,ERIE,7
1.40601E+11,ENTERPRISE CHARTER SCHOOL,2009,,,,,14,ERIE,7
1.40601E+11,ENTERPRISE CHARTER SCHOOL,2010,,,,,14,ERIE,7
1.40601E+11,SANKOFA CHARTER SCHOOL,2008,,,,,14,ERIE,7
1.40601E+11,SANKOFA CHARTER SCHOOL,2009,,,,,14,ERIE,7
1.40601E+11,BUFFALO ACADEMY OF SCIENCE CHARTER SCHOOL,2008,,,,,14,ERIE,7
1.40601E+11,BUFFALO ACADEMY OF SCIENCE CHARTER SCHOOL,2009,,,,,14,ERIE,7
1.40601E+11,BUFFALO ACADEMY OF SCIENCE CHARTER SCHOOL,2010,,,,,14,ERIE,7
1.40601E+11,WESTERN NEW YORK MARITIME CHARTER SCHOOL,2008,,,,,14,ERIE,7
1.40601E+11,WESTERN NEW YORK MARITIME CHARTER SCHOOL,2009,,,,,14,ERIE,7
1.40601E+11,WESTERN NEW YORK MARITIME CHARTER SCHOOL,2010,,,,,14,ERIE,7
1.40601E+11,ORACLE CHARTER SCHOOL,2008,,,,,14,ERIE,7
1.40601E+11,ORACLE CHARTER SCHOOL,2009,,,,,14,ERIE,7
1.40601E+11,ORACLE CHARTER SCHOOL,2010,,,,,14,ERIE,7
